label,rep,seed,actual_seed,n_elig,rate_1yr,rate_3yr,rate_6yr,rate_9yr,gamma_loss,offense_loss,ci95_lo_1yr,ci95_hi_1yr,ci95_halfwidth_1yr,ci95_lo_3yr,ci95_hi_3yr,ci95_halfwidth_3yr,ci95_lo_6yr,ci95_hi_6yr,ci95_halfwidth_6yr,ci95_lo_9yr,ci95_hi_9yr,ci95_halfwidth_9yr,tier_3yr_Low,share_Low,tier_3yr_LowModerate,share_LowModerate,tier_3yr_Moderate,share_Moderate,tier_3yr_High,share_High,off_Violent_3yr,off_Violent_6yr,off_Violent_9yr,off_Drug_3yr,off_Drug_6yr,off_Drug_9yr,off_Property_3yr,off_Property_6yr,off_Property_9yr,off_Other(PublicOrder)_3yr,off_Other(PublicOrder)_6yr,off_Other(PublicOrder)_9yr
final,0,42,42,9445,0.437,0.703,0.8,0.815,0.02729099071633108,0.01674159320659052,0.427291761400635,0.44729603992307426,0.010002139261219622,0.6938280390399528,0.7122534852815047,0.009212723120775923,0.7917042582439925,0.807840134584013,0.00806793817001028,0.8072915188825063,0.8229444668704986,0.007826473993996164,0.5214701601164483,0.29094759131815773,0.6939321832242713,0.3559555320275278,0.83303808680248,0.2390682901005823,0.9229340761374187,0.11402858655373213,0.6761487964989059,0.7587527352297593,0.7702407002188184,0.6974358974358974,0.7916083916083916,0.8088578088578089,0.7497648165569144,0.8507369081216682,0.8639071809344622,0.6649145860709592,0.7696014016644765,0.7893123083661848
final,0,137,137,9583,0.43,0.697,0.797,0.813,0.025682872371304025,0.017177453864963766,0.4199418548397614,0.43976167880368594,0.009909911981962283,0.6882104972417661,0.7066014917244438,0.009195497241338835,0.7883359564654657,0.8044557300061246,0.008059886770329427,0.8047526351681413,0.8203750398317251,0.007811202331791889,0.5197274031563845,0.29093185849942604,0.690504103165299,0.35604716685797766,0.8235807860262009,0.23896483355942816,0.9085086916742909,0.11405614108316811,0.6546184738955824,0.7259036144578314,0.7379518072289156,0.699663623258049,0.8020182604517059,0.8173954829408938,0.7584917419756934,0.8603926456840137,0.878155188532253,0.6475445458496306,0.7635810517166449,0.7818339852238158
final,0,251,251,9500,0.433,0.697,0.796,0.811,0.027915289537288487,0.01715981470235144,0.4232225531027619,0.44314727359973705,0.009962360248487567,0.6875214271748361,0.7060036500949703,0.00924111146006712,0.7876709587143466,0.803879304497111,0.00810417289138221,0.8032692159125214,0.8190054650964718,0.007868124591975167,0.5057887120115774,0.2909473684210526,0.6957421643997634,0.356,0.8238661382650815,0.23905263157894738,0.9215143120960295,0.114,0.6469979296066253,0.7318840579710145,0.7453416149068323,0.7088607594936709,0.7994157740993184,0.8120740019474196,0.7396486825595985,0.849435382685069,0.8657465495608532,0.6689595872742906,0.7725709372312983,0.790627687016337
final,0,389,389,9536,0.423,0.699,0.798,0.814,0.029946881570426524,0.01530973037793897,0.4134589927887786,0.4332889867583869,0.009914996984804136,0.6894331859352748,0.7078480435559987,0.009207428810361962,0.7898512406866015,0.8059657800069077,0.008057269660153077,0.8065645054180131,0.8221671079035331,0.007801301242760017,0.5259552992069214,0.2908976510067114,0.685419734904271,0.3560192953020134,0.8222904782799474,0.23898909395973153,0.921875,0.11409395973154363,0.6568483063328424,0.7452135493372607,0.7604320078546882,0.7013422818791947,0.7909875359539789,0.8053691275167785,0.7540878486694453,0.8602116062840655,0.874639307470343,0.6582388840453357,0.7667829119442022,0.7890148212728858
final,0,503,503,9558,0.428,0.7,0.799,0.816,0.025663977977196436,0.01514082002924876,0.4178168391826226,0.43765033358459837,0.009916747200987897,0.6903541757025028,0.7087321258317122,0.009188975064604699,0.7912877271461874,0.807341725155135,0.00802699900447379,0.8077515223277146,0.823298462855056,0.007773470263670701,0.5124056094929881,0.2909604519774011,0.6982074640023509,0.3560368277882402,0.8264680105170903,0.23875287717095628,0.9157509157509157,0.11424984306340238,0.6592207792207793,0.7418181818181818,0.7553246753246753,0.694907187053784,0.7962874821513565,0.8143741075678248,0.7460267996260518,0.8460579619819258,0.862574010595201,0.6732673267326733,0.785622040464916,0.801980198019802
final,0,617,617,9251,0.425,0.704,0.806,0.824,0.031760029557058214,0.017609801756971088,0.4149944572726357,0.43513803986270166,0.010071791295032995,0.6948648369787752,0.7134619786849311,0.009298570853077948,0.7980015267831139,0.8141105162798382,0.008054494748362173,0.8156852569893326,0.8312193858734908,0.007767064442079086,0.5308320950965825,0.29099556804669763,0.6990586091709687,0.355961517673765,0.8132066938037087,0.2390011890606421,0.9345971563981043,0.11404172521889526,0.6573033707865169,0.7353932584269663,0.7471910112359551,0.6922698178237322,0.7951747907434761,0.8129000492368291,0.76096,0.8656,0.88512,0.6742980561555075,0.7900647948164147,0.8086393088552916
final,0,743,743,9337,0.437,0.708,0.801,0.815,0.027529112839454164,0.019140612055334183,0.42725842367506506,0.44737814012235555,0.010059858223645246,0.6991690633953666,0.7176028043558219,0.009216870480227679,0.7926767571358897,0.8088750345142333,0.008099138689171781,0.8068147065069856,0.8225718361360242,0.007878564814519318,0.5436142804563857,0.290992824247617,0.6970517448856799,0.3560029988218914,0.8283281039892425,0.23894184427546322,0.9136150234741784,0.11406233265502838,0.6750261233019854,0.7408568443051202,0.7497387669801463,0.705825710158883,0.7944150216658642,0.8069330765527203,0.7537043134672374,0.8554494567006915,0.8702667105696411,0.6790818536162841,0.7847553053269813,0.8029449978345604
final,0,863,863,9291,0.433,0.699,0.802,0.817,0.027506205767385748,0.016489394111441652,0.4230613507091793,0.44320855968929385,0.010073604490057286,0.6897648970583716,0.708412948167092,0.009324025554360182,0.7940589218312458,0.8102547654509559,0.008097921809855024,0.8090346750310176,0.8247577287039745,0.00786152683647845,0.5316315205327414,0.29092670326122055,0.6898428053204353,0.35604348294048005,0.8157657657657658,0.2389409105586051,0.9113207547169812,0.11408890323969433,0.6684238270954138,0.7496046389035319,0.7643647865050079,0.6942551119766309,0.7867575462512172,0.8008763388510224,0.753684900098264,0.8670160497870947,0.8788077301015395,0.6563183209444687,0.7735024048972453,0.7927415828596415
final,0,971,971,9546,0.432,0.708,0.807,0.823,0.025045265892505178,0.017802993002484835,0.42200111690535763,0.44187097077408616,0.009934926934364263,0.6990535511350462,0.7172884330084395,0.009117440936696641,0.7987876361699074,0.8146256795022605,0.007919021666176529,0.8148563853901247,0.8301804914518955,0.007662053030885407,0.5322290241267555,0.29090718625602346,0.6990291262135923,0.3560653676932747,0.8364752301622096,0.23894825057615754,0.9173553719008265,0.11407919547454431,0.6700353713996968,0.7427993936331481,0.7559373420919656,0.7010110736639383,0.8064516129032258,0.8213769860375542,0.7595095881798176,0.8610499842816725,0.881169443571204,0.6769164140320485,0.7873538328280641,0.8003464703334777
final,0,1087,1087,9232,0.434,0.698,0.804,0.82,0.02554102073185222,0.013620608531348407,0.4238449928921606,0.44406092701880884,0.01010796706332412,0.6889974478665991,0.7077178877450466,0.009360219939223757,0.7954985144490884,0.8117011586158979,0.00810132208340475,0.8118938309924452,0.8275714452418291,0.007838807124691982,0.5238272524199553,0.29094454072790293,0.6905993306966839,0.35604419410745236,0.8227561196736174,0.2389514731369151,0.9078822412155746,0.11405979202772963,0.6650273224043716,0.7453551912568306,0.7595628415300546,0.6941866145578895,0.7987298485588666,0.8119198827552516,0.7527615334632879,0.8632228719948019,0.8755685510071475,0.6556873078612209,0.7747035573122529,0.8001756697408872
final,1,42,10042,9369,0.435,0.701,0.8,0.816,0.029820229893499004,0.015284604975512659,0.4253607790497934,0.4454361412779757,0.010037681114091146,0.6914689823997311,0.7100101165322299,0.009270567066249402,0.7921896460101862,0.8083752883209351,0.008092821155374463,0.8077965663117358,0.8234954422932107,0.007849437990737451,0.533015407190022,0.2909595474436973,0.6776611694152923,0.3559611484683531,0.8360875390799464,0.23897961361938308,0.9176800748362957,0.11409969046856655,0.6642297650130549,0.7404699738903394,0.7514360313315926,0.6983590733590733,0.7997104247104247,0.8137065637065637,0.7514544279250162,0.8581124757595345,0.8755656108597285,0.6652097902097902,0.7731643356643356,0.7906468531468531
