value,n_runs,rate_1yr,std_1yr,rate_3yr,rate_6yr,rate_9yr,std_3yr,std_6yr,std_9yr,mae_3yr,mae_6yr,mae_9yr,mae_all,gamma_loss,offense_loss,tier_mae_3yr,mae_primary,rate_3yr_Low,share_Low,rate_3yr_LowModerate,share_LowModerate,rate_3yr_Moderate,share_Moderate,rate_3yr_High,share_High,off_Violent_3yr,off_Violent_6yr,off_Violent_9yr,off_Drug_3yr,off_Drug_6yr,off_Drug_9yr,off_Property_3yr,off_Property_6yr,off_Property_9yr,off_Other(PublicOrder)_3yr,off_Other(PublicOrder)_6yr,off_Other(PublicOrder)_9yr
1.0,100,0.40898999999999985,0.004096056245668099,0.6821400000000001,0.7843000000000001,0.8012800000000001,0.004534981874942876,0.003929942040850535,0.0038692781150122995,0.0018599999999999728,0.009699999999999931,0.03271999999999986,0.01475999999999992,0.03336160139663648,0.050339042486958654,0.02978275255920053,0.01475999999999992,0.4850570698717571,0.2909428556933227,0.6641689083841809,0.3559970644726922,0.8287862183698461,0.23900429154876301,0.9340290671190721,0.11405578828522214,0.7016501907357003,0.7736761020599316,0.7859955201090655,0.6830926024981859,0.7824618121560506,0.7979749108374464,0.6520632084366715,0.7682366724203541,0.7881297312707932,0.7240276031665275,0.8271513003336728,0.8441448251946514
1.02,100,0.41104,0.004503466678150515,0.6843400000000002,0.7859600000000002,0.8028899999999999,0.004276362090290353,0.004034998404115192,0.0039,0.000340000000000118,0.008039999999999825,0.031110000000000082,0.013163333333333341,0.03274198668623106,0.05057252309177346,0.029880383537421756,0.013163333333333341,0.48686974238300024,0.29094558500999584,0.6659576711272224,0.355998488949416,0.8316836949470544,0.23900557095293667,0.9372931578409637,0.11405035508765149,0.7053849854736376,0.7770363947706652,0.7887103590289342,0.685968534654253,0.785440281699293,0.8007650502009008,0.6537739222229635,0.7686715836476946,0.788592738634365,0.7252427202647251,0.8285291719986939,0.8457621500279983
1.04,100,0.41456999999999994,0.004465931644634238,0.6872199999999999,0.7872500000000001,0.8042200000000003,0.003993884213533335,0.00379093815845262,0.0036668870457188356,0.0032199999999998896,0.006749999999999923,0.029779999999999696,0.013249999999999837,0.031899326627657924,0.05043481180800149,0.029050741809597505,0.013249999999999837,0.4894452574528617,0.2909536682707832,0.6697593998457708,0.35599564750542745,0.83416865894165,0.2389992072186693,0.9376857685729493,0.11405147700512011,0.7071027533456561,0.777601708963412,0.7894985310413568,0.688620924855788,0.7869804227533714,0.802277236205191,0.6569058621177135,0.7704134699531733,0.790061745147072,0.7279396919248918,0.829205901964535,0.846742321672639
1.06,100,0.41635,0.004887367761521904,0.6892699999999999,0.7896700000000001,0.8063200000000001,0.004861423078012648,0.0036764470112137684,0.0036261675235833876,0.005269999999999886,0.004329999999999945,0.027679999999999816,0.01242666666666655,0.03108675567607136,0.0509340751384345,0.029104773575666223,0.01242666666666655,0.4921631309213058,0.29094523778361137,0.6709676310112792,0.35600397048773064,0.8371817130500758,0.2389941485072082,0.9394053074427142,0.11405664322144983,0.7099566487558627,0.7807609608657898,0.7928460584973293,0.6918847161270513,0.7903159205960552,0.8054776439292746,0.6579217825940725,0.771722951038594,0.7913397543133829,0.7305186740287988,0.8319350556702781,0.8483342859572691
1.08,100,0.4185499999999999,0.004995705226198875,0.6900499999999999,0.7899100000000001,0.80656,0.004443528946113572,0.003910862882389066,0.0038014351356966463,0.006049999999999889,0.004089999999999927,0.02743999999999991,0.012526666666666575,0.03109436590163335,0.05112461039199993,0.02882175940254522,0.012526666666666575,0.4922323746190261,0.2909512547892125,0.6724570068807674,0.3559894102087325,0.8375465753358252,0.23900710062061747,0.9400582452077475,0.11405223438143745,0.7111007892480119,0.7817267171526754,0.7934621838917576,0.6933435250939413,0.7907441187531634,0.8058691119063209,0.6580484167408953,0.7715666869087648,0.7912055051143315,0.730661193794493,0.8317124091219422,0.8484179995821391
1.1,100,0.42178999999999994,0.004443347086750412,0.693,0.7920900000000001,0.80855,0.004225942008426727,0.004052920134441542,0.003942452192852707,0.008999999999999897,0.0019099999999999673,0.025449999999999973,0.012119999999999945,0.030123755866139225,0.05152118035031088,0.02820281343181394,0.012119999999999945,0.49470435571767163,0.29094748704490825,0.6764012243985614,0.3559950525330116,0.8403180028998358,0.2390048869972652,0.9418261253079815,0.11405257342481505,0.7133702536773461,0.7832028140873,0.7948419853723805,0.6950702467586711,0.7929215857173811,0.8079651730368628,0.6617210939194677,0.7740103048268745,0.7930782371428299,0.7349256449702204,0.834574826365143,0.8515025034091098
1.1199999999999999,100,0.4231199999999999,0.0039319463399443855,0.6952599999999997,0.79364,0.81006,0.0043078973755162515,0.0037403613502311585,0.003495509384708568,0.011259999999999604,0.00036000000000002697,0.02393999999999996,0.011853333333333197,0.029594203210319355,0.05238541493967097,0.027719413989681627,0.011853333333333197,0.4967616525799232,0.29095136828631996,0.6788667766563805,0.35599785916748267,0.8431900953857959,0.23899739320868463,0.9431728754209798,0.1140533793375128,0.7169964768865953,0.787231293355593,0.799364141743112,0.6969558672641599,0.7943480200874958,0.8091227727739081,0.6636821364546134,0.7747657588831399,0.7938638658388768,0.7370988775230843,0.8357385737279199,0.8522540691057712
1.14,100,0.42483,0.004440527314214255,0.6959499999999998,0.79389,0.81037,0.004835422745873729,0.0037440727567824897,0.003614379251508772,0.011949999999999794,0.0001100000000000545,0.02362999999999993,0.011896666666666592,0.030082784696002847,0.05212879188555219,0.02817527453266712,0.011896666666666592,0.4978222768161604,0.29094383925701656,0.6785817674066973,0.3559978814039065,0.8441646473700718,0.23899737953521363,0.9446252360912772,0.11406089980386341,0.7176147902613259,0.7862357089637259,0.7976787759730928,0.6980223023261215,0.7947614262353592,0.8097144780854346,0.6644389146943728,0.7752342407806695,0.7947411119071195,0.7369033135244567,0.8363289458224056,0.8525341102445855
1.16,100,0.42717,0.004574975851346549,0.6976699999999998,0.79542,0.81182,0.00438789657622378,0.003985275930525297,0.004006005592617225,0.013669999999999738,0.0014199999999999768,0.022179999999999978,0.01242333333333323,0.029255669155419894,0.05277301806495367,0.027733544648437025,0.01242333333333323,0.4974345745907682,0.2909420114520538,0.6819632778373251,0.35599873945041466,0.84625753462728,0.23900430351484103,0.9462053472130251,0.1140549455826905,0.7183863631906136,0.7874577959397829,0.7994316844937519,0.6994895530967122,0.7958658617320207,0.810774483909582,0.6656638306934277,0.7766815680263004,0.7960154888286225,0.7408704428880932,0.838629049465947,0.8547681438895467
1.18,100,0.42938999999999994,0.0044401633421587705,0.6996599999999998,0.7966900000000001,0.8131499999999999,0.004566500771151724,0.00407677581062548,0.0039115860019312805,0.015659999999999785,0.002690000000000081,0.020850000000000035,0.013066666666666634,0.029015927182842124,0.052999461000974725,0.028773932188156562,0.013066666666666634,0.5009354191664442,0.2909453287189237,0.6834299375903973,0.3560030724539031,0.8478442410336006,0.23899570216798932,0.9467460061429788,0.11405589665918385,0.7215250360901656,0.7902148244057142,0.8019924418072375,0.7020073632336029,0.7972125332737316,0.8119505073552005,0.6679032848830454,0.7782000572983432,0.7975980231230309,0.740808452693486,0.8379806018741779,0.8544899909943017
