value,n_runs,rate_1yr,std_1yr,rate_3yr,rate_6yr,rate_9yr,std_3yr,std_6yr,std_9yr,mae_3yr,mae_6yr,mae_9yr,mae_all,gamma_loss,offense_loss,tier_mae_3yr,mae_primary,rate_3yr_Low,share_Low,rate_3yr_LowModerate,share_LowModerate,rate_3yr_Moderate,share_Moderate,rate_3yr_High,share_High,off_Violent_3yr,off_Violent_6yr,off_Violent_9yr,off_Drug_3yr,off_Drug_6yr,off_Drug_9yr,off_Property_3yr,off_Property_6yr,off_Property_9yr,off_Other(PublicOrder)_3yr,off_Other(PublicOrder)_6yr,off_Other(PublicOrder)_9yr
0.75,100,0.39982000000000006,0.004663158854794728,0.6785600000000003,0.7872000000000001,0.8068900000000001,0.004379290104364154,0.0036570120827989334,0.0036924575047307374,0.005439999999999778,0.006799999999999917,0.027109999999999856,0.013116666666666518,0.0365059906909666,0.04425938251891434,0.04416685295078922,0.013116666666666518,0.516726141354649,0.29095169629571394,0.664203705535303,0.35599855691780896,0.793319641691355,0.23900679249345763,0.8955353823248341,0.11404295429301964,0.6902195723830077,0.7687422947929992,0.7829688022851498,0.6811175231215425,0.7869177927796375,0.8049415567968573,0.656352675837716,0.7776607563249329,0.8003676566899232,0.709568643726928,0.8224957680172438,0.8429042081993088
0.8,100,0.40159000000000006,0.004124563031645916,0.6793400000000002,0.7869200000000002,0.8059200000000001,0.004297568022625227,0.0035722838802665366,0.0036256103631044628,0.0046599999999998865,0.007079999999999864,0.028079999999999883,0.013273333333333212,0.03455525465104431,0.0452896776117484,0.038487030490037696,0.013273333333333212,0.5101716620370105,0.29095633257387754,0.6639389571432867,0.3559878496709231,0.8010544313874455,0.239006988337706,0.9042301515461275,0.11404882941749327,0.6913451770932408,0.7698301259189435,0.7837324993703961,0.6819872638778438,0.7873285116905379,0.8047363551736774,0.6554756676422564,0.7754245359994755,0.7972386752657736,0.7132843926998285,0.8238175382711239,0.8434075164112769
0.85,100,0.4029499999999999,0.0048165854035296446,0.6799700000000002,0.7861300000000001,0.8047000000000001,0.0046999999999999915,0.00386032656806665,0.0037484003322090635,0.004029999999999867,0.007869999999999933,0.02929999999999988,0.013733333333333228,0.03318042630625886,0.04671755663134634,0.03385345919812592,0.013733333333333228,0.5023186904762086,0.29095263472860144,0.6642696433233253,0.3560016074508093,0.8085455800898497,0.23899444967888628,0.9129103697294702,0.11405130814170299,0.6953315984312076,0.7705851676244763,0.7839583651368759,0.6828121787583514,0.7866953940419692,0.8032393042036232,0.6539677557682565,0.773171111102791,0.7947780499238513,0.7152339884441196,0.8249116182611577,0.8439188915999826
0.9,100,0.40543000000000007,0.004440982237334786,0.6812599999999999,0.7858500000000003,0.80383,0.004368435912684565,0.003677326103669254,0.0036294391140819933,0.0027400000000001867,0.008149999999999769,0.03016999999999992,0.013686666666666625,0.032757235677591034,0.047517001509877595,0.03305522716758276,0.013686666666666625,0.4978588740454115,0.2909527077351732,0.6642288275669105,0.3559933568991984,0.815599935782949,0.23900231634503263,0.9211907979747791,0.1140516190205957,0.6964751328696245,0.7707069927419984,0.7840827548710904,0.6846091816678842,0.7872950383128133,0.8037921390105178,0.6535691233989813,0.7714248440951746,0.7922640342316314,0.7191102887283192,0.8256050352321982,0.8436974410787695
0.95,100,0.4078199999999999,0.004344693733321543,0.68163,0.78499,0.8025500000000004,0.004631152746085538,0.004021394803002584,0.0035373190784302004,0.0023700000000000943,0.009010000000000074,0.031449999999999534,0.014276666666666568,0.032802266435107134,0.04903085464003504,0.03129502859395601,0.014276666666666568,0.49111451788883476,0.29094937654329667,0.6639383213594684,0.355990653830371,0.8226332043678258,0.2390100274232251,0.9276371222142836,0.11404994220310727,0.7004824287832595,0.7734379222619109,0.7859402075951653,0.6830655993472515,0.7841597454562662,0.8003487915021869,0.6532223429868064,0.7698504337934519,0.7902623376356063,0.7200505323451486,0.8255978850312171,0.8434582734855239
1.0,100,0.4094900000000001,0.00453603974471746,0.6827800000000002,0.78518,0.8022100000000002,0.004296063502342745,0.003947585888037696,0.003833122523847663,0.0012199999999998878,0.00882000000000005,0.03178999999999976,0.013943333333333233,0.032730171718918365,0.05026870229882963,0.029691644596163733,0.013943333333333233,0.4862078313454298,0.2909510045544343,0.6649705471980435,0.35599967237922825,0.8290471703058523,0.23899910368106006,0.933576464543121,0.11405021938527751,0.7032829973817032,0.7757856266700455,0.7879425975550843,0.6852028756787888,0.7850357356987749,0.8002290465787896,0.6521367509742814,0.7678423693017323,0.7878439689677061,0.7229814703889826,0.8274968249879733,0.8448550723279666
1.05,100,0.4123799999999999,0.004838356846047728,0.6830600000000001,0.7843400000000001,0.8009900000000002,0.003938466091197814,0.003906017114269947,0.003898963861325111,0.0009399999999999409,0.009659999999999891,0.03300999999999976,0.014536666666666531,0.03359176407332866,0.05115132351459488,0.028270216603166656,0.014536666666666531,0.4801156540465332,0.29094192101532274,0.6640146244443933,0.3560049924917844,0.8358939207759356,0.23900143801204152,0.9398737575864624,0.11405164848085134,0.7052431048844884,0.7758986080631325,0.7879803640813648,0.6847803910278357,0.7843298243393748,0.7992117666275215,0.6514148055504543,0.7661480447359849,0.7856555747527737,0.7243649698094683,0.8272098066947763,0.8443400149557552
1.1,100,0.41473,0.005014836573467355,0.68489,0.78439,0.8004000000000002,0.004752234987217809,0.00398201766024018,0.003923511105367159,0.0008899999999999464,0.009610000000000007,0.03359999999999974,0.014699999999999899,0.03450350128480713,0.05254478444626443,0.027253486696296833,0.014699999999999899,0.4769647750111201,0.2909423705070423,0.6650631342578989,0.35599338769008865,0.8426634934898426,0.23900359480390193,0.9467757995218088,0.11406064699896719,0.7092052959083349,0.77767849707884,0.7890270586678192,0.6867733811126222,0.7843379029104969,0.7989770344059401,0.6506108288996998,0.7643611694035921,0.7833261401535726,0.7294213499089862,0.8293334654595409,0.8452946229070339
1.15,100,0.41721,0.005154766353736721,0.68512,0.78417,0.7999000000000003,0.0040483941198325366,0.0032969376669567175,0.0032551435599616207,0.0011199999999998989,0.009830000000000005,0.034099999999999686,0.01501666666666653,0.035962784534881026,0.05371247021857977,0.02763607109468208,0.01501666666666653,0.47121588007315546,0.2909436135218541,0.6646479235573269,0.35599689765964515,0.84828483743688,0.2389966765123795,0.9526914904260199,0.11406281230612131,0.7093266927383587,0.7785958699234355,0.789956488823426,0.6869270456710213,0.7828469435082783,0.7974535640237131,0.6499211928045086,0.7635250629197082,0.7820192107598948,0.7314875186062609,0.8306339293914585,0.8460825222623859
1.2,100,0.41906999999999994,0.004630280223646833,0.6853699999999999,0.7828900000000002,0.79844,0.004473615129091012,0.004345890895635521,0.004353844231935684,0.0013699999999998713,0.011109999999999842,0.035559999999999925,0.016013333333333213,0.03799730303402821,0.05435465530351181,0.028576149408467325,0.016013333333333213,0.4652359059590635,0.29094536565633183,0.665003796618833,0.35599360755809967,0.8540072141433319,0.23900507976855706,0.957065274150307,0.11405594701701133,0.7118319425843338,0.7791145210761699,0.7893525970253081,0.6893976063709996,0.7845864277730711,0.7987886824597993,0.6478951937784752,0.7597604068660544,0.7782297698140609,0.7320117451847703,0.8298809710734134,0.8453481003782061
1.25,100,0.4227099999999999,0.004744576914858704,0.68647,0.7825700000000001,0.7974500000000003,0.004018781663714233,0.0042289406940674195,0.0038700481556787837,0.0024699999999999722,0.01142999999999994,0.03654999999999964,0.016816666666666518,0.040088295850445085,0.055774476522532146,0.03084598900534774,0.016816666666666518,0.46111825317364846,0.2909400693901983,0.665391508492375,0.35600247725408063,0.8603867624401461,0.23898966660908985,0.9625069552472684,0.11406778674663115,0.7160163215497802,0.7815956596832244,0.7915177792692323,0.6884360875096621,0.7828338482200317,0.7962795223003033,0.6478795711923014,0.7584835235368819,0.7763258574388254,0.7344622001943967,0.8303475675323823,0.8451299757260103
