value,n_runs,rate_1yr,std_1yr,rate_3yr,rate_6yr,rate_9yr,std_3yr,std_6yr,std_9yr,mae_3yr,mae_6yr,mae_9yr,mae_all,gamma_loss,offense_loss,tier_mae_3yr,mae_primary,rate_3yr_Low,share_Low,rate_3yr_LowModerate,share_LowModerate,rate_3yr_Moderate,share_Moderate,rate_3yr_High,share_High,off_Violent_3yr,off_Violent_6yr,off_Violent_9yr,off_Drug_3yr,off_Drug_6yr,off_Drug_9yr,off_Property_3yr,off_Property_6yr,off_Property_9yr,off_Other(PublicOrder)_3yr,off_Other(PublicOrder)_6yr,off_Other(PublicOrder)_9yr
0.6,100,0.4231799999999999,0.004475251812789848,0.6923799999999999,0.7863100000000002,0.8031900000000002,0.004145777942373977,0.0036340004947660117,0.003529657893972852,0.008379999999999832,0.007689999999999864,0.030809999999999782,0.015626666666666494,0.031933886509052906,0.05156122863296729,0.027293718869662406,0.007689999999999864,0.4931104801606181,0.29095074675986765,0.6766710392614869,0.3559940638675512,0.840256306814717,0.23899913195910208,0.9399917413942355,0.114056057413479,0.7123494359542839,0.7782729698173436,0.7906931959660678,0.6957919992694296,0.7876075674989309,0.8031652044770997,0.6607788026805039,0.7675307257142471,0.7871533489600876,0.7337878008744307,0.8284376775499712,0.8454815446098166
0.6325,100,0.42321,0.004948818857142392,0.69325,0.7875300000000002,0.8045300000000002,0.004759626078174652,0.003924682320026851,0.0037158002795053074,0.00924999999999998,0.006469999999999865,0.029469999999999774,0.015063333333333206,0.03175850731135338,0.0521151910954279,0.028041109012215557,0.006469999999999865,0.4937303582750705,0.2909506600917537,0.6768506132213706,0.35599413822624304,0.8410453636107449,0.23899427550530838,0.9433300546059074,0.11406092617669486,0.7150898279777569,0.7803422908365621,0.7925758697624787,0.6936403021253618,0.7868256924345606,0.8026384197429947,0.6616327572857584,0.7692191461837413,0.7891599573454764,0.7360350590460311,0.8304759464973733,0.8472916531535916
0.665,100,0.42288000000000003,0.004669436407494634,0.6928899999999999,0.7877000000000003,0.8047400000000003,0.004722383835618287,0.004036450085524324,0.004031742736702021,0.008889999999999842,0.00629999999999975,0.02925999999999962,0.014816666666666404,0.03170917250803448,0.051901959832077266,0.027598199611291244,0.00629999999999975,0.4931039275491489,0.29094606038690535,0.6759612547744689,0.35599796662648603,0.8421941876010949,0.2389977085014652,0.94244431327158,0.11405826448514342,0.714806102220077,0.7811610298841152,0.7932250814833245,0.6949788454112523,0.7881994763059522,0.8037996799588284,0.6612534530127563,0.7686937627403395,0.7889027173735255,0.7340684562240024,0.8300390344581765,0.8467718333093605
0.6975,100,0.42351999999999984,0.004926694960348497,0.6932099999999997,0.7887700000000001,0.8056000000000002,0.004441073216366868,0.0038001993568121104,0.003915780041490232,0.009209999999999607,0.005229999999999957,0.02839999999999976,0.014279999999999774,0.03130205217718407,0.052601200286850995,0.02814878238486912,0.005229999999999957,0.4949884475884753,0.2909441490888175,0.6768956930031785,0.3560050536970584,0.8402637156242204,0.23899664811487198,0.9417660905784002,0.1140541490992521,0.7142627708893123,0.7811801596998222,0.7933946633328365,0.6955765527407598,0.7890313003906055,0.8041829307436074,0.660813167001249,0.7694118870141295,0.7892470380042993,0.7365905292902759,0.8331515104168032,0.8499904664608415
0.73,100,0.42294999999999994,0.004647960343369487,0.69324,0.78872,0.8055900000000001,0.004686365350889752,0.0038246410011762958,0.0036351121583852643,0.009239999999999915,0.005280000000000062,0.028409999999999824,0.014309999999999934,0.03159397764705663,0.05193203298762781,0.02846701926879698,0.005280000000000062,0.4945751754817179,0.2909497971464703,0.6763341498144093,0.356002620575332,0.8408283887459386,0.23899287479984843,0.943455440153818,0.11405470747834923,0.714766002695059,0.7817880799420196,0.7939064143380908,0.695932063582701,0.7896590856797328,0.8052307893164943,0.6612486289393756,0.7696830188730895,0.7894525583790448,0.7346031499772968,0.831136421128982,0.8478192238135638
0.7625,100,0.42333999999999994,0.004835098946059105,0.69325,0.7893000000000001,0.8062300000000003,0.004386330925716712,0.0036666666666666696,0.0036538481167949447,0.00924999999999998,0.0046999999999999265,0.02776999999999963,0.013906666666666512,0.030964509213337554,0.052362112578540426,0.027299233741080994,0.0046999999999999265,0.49311993906679163,0.2909463320747943,0.6768122141593017,0.3560007579037976,0.8425935944791901,0.2390005315138345,0.9424828045360243,0.11405237850757359,0.7149583262406342,0.782214444055141,0.7942678237432824,0.6950390831191942,0.7891145684216804,0.8044249762214993,0.6612368420526761,0.7702719231512866,0.7903174123447649,0.7359177548189082,0.833108810506154,0.8497322679747751
0.7949999999999999,100,0.42350999999999994,0.004312291570135143,0.6939599999999997,0.79021,0.8068000000000001,0.003816286205729384,0.0033823517011545455,0.003437758254761637,0.009959999999999636,0.003790000000000071,0.02719999999999989,0.013649999999999865,0.030967383342774314,0.05167394811315559,0.02807176813833076,0.003790000000000071,0.4955268485021144,0.2909431763120523,0.6779767030083249,0.3560003604473767,0.8407351980646477,0.2390006356610612,0.9424721251241813,0.11405582757950976,0.7152078251934288,0.7832381862904902,0.7950860800914612,0.6962001646456265,0.7900360405864779,0.8049453297275144,0.6629997354381519,0.7718835793027933,0.7916238248612081,0.734171501032072,0.832184713601154,0.8487440266660926
0.8275,100,0.4236399999999999,0.004421069846299493,0.6940299999999999,0.7908500000000003,0.8074100000000002,0.004538177002393181,0.0037882727067900124,0.003610016928245922,0.010029999999999872,0.003149999999999764,0.02658999999999978,0.013256666666666472,0.03051078348830369,0.05148356422854457,0.027758285239467856,0.003149999999999764,0.4950997160288039,0.29094495142706855,0.6786578012467366,0.3560041476746803,0.8407797026706821,0.2389978476671787,0.9423709288464863,0.11405305323107234,0.7137190702840952,0.7824461853390503,0.7941142814890162,0.6966710753134361,0.7914542408103941,0.8065934082620447,0.6632705583966327,0.7726132461937831,0.7919661001157908,0.7350237062355071,0.8333754066021238,0.8501452793409132
0.86,100,0.42361,0.004954122862155659,0.69401,0.7912600000000002,0.8080100000000001,0.004637342934801066,0.003762172164314044,0.003594313690969496,0.010009999999999963,0.0027399999999998537,0.025989999999999847,0.012913333333333221,0.030492810453975026,0.051910303890299804,0.027992316791142863,0.0027399999999998537,0.495388361361139,0.29094879795881234,0.677261734499562,0.35599709602060264,0.8419989330506178,0.23899613904518013,0.9428415733536123,0.11405796697540474,0.7164238914722242,0.7844891026933078,0.796141846241943,0.6969538596332877,0.7929986578877611,0.8081750562675257,0.661796850154511,0.7723420015238696,0.791855449641827,0.7349413682242014,0.8326220035678324,0.8497817731756758
0.8925,100,0.42321999999999993,0.004377582931622467,0.6939599999999997,0.7912600000000002,0.8081100000000001,0.00433664209342489,0.0036779990168129173,0.003472532915392559,0.009959999999999636,0.0027399999999998537,0.025889999999999858,0.012863333333333116,0.030530560087370328,0.052126766491971024,0.028162832899118945,0.0027399999999998537,0.4960153250718164,0.2909511832841664,0.676149913516306,0.3559938769147129,0.8427893635887763,0.23900010628968255,0.9425752836297419,0.11405483351143814,0.7162948328691505,0.7837274829586193,0.7959310368466568,0.6942969687883286,0.7907387560066526,0.8065365171401793,0.6627005723955496,0.7727660877183459,0.7922898041326202,0.7357963721547582,0.834180310936797,0.8510302673501975
0.925,100,0.42289999999999994,0.004361215658529403,0.69352,0.7918900000000001,0.8085400000000001,0.004461915157047108,0.003853097927170248,0.0035403018760745853,0.009519999999999973,0.0021099999999999453,0.025459999999999816,0.012363333333333245,0.030202829165734964,0.05160597841104466,0.027900997965801408,0.0021099999999999453,0.4948656393079883,0.290940899798085,0.6761821830299596,0.3560026559679693,0.842415178970159,0.23900415393340085,0.942335714555336,0.11405229030054484,0.7152969603706427,0.7848637484710058,0.7965423316018467,0.6951482880401028,0.7918794248516509,0.8072173123465504,0.6625548207094222,0.7739907800348311,0.7933733864495526,0.7340092612872978,0.8331142657888989,0.8498886972103737
