year,rmse,sim_Male_avg,sim_Male_ci95,bjs_Male,diff_Male,sim_Female_avg,sim_Female_ci95,bjs_Female,diff_Female,sim_White_avg,sim_White_ci95,bjs_White,diff_White,sim_Black_avg,sim_Black_ci95,bjs_Black,diff_Black,sim_Hispanic_avg,sim_Hispanic_ci95,bjs_Hispanic,diff_Hispanic
3,0.05190647567714415,0.6863142900991615,0.001178832555002175,0.68,0.0063142900991614015,0.6876376024192965,0.003709428530831025,0.58,0.10763760241929654,0.6854167672927318,0.0017624963169631715,0.66,0.02541676729273179,0.6862811956344714,0.0017201125935484562,0.72,-0.03371880436552854,0.6879194409288283,0.002134238266300148,0.68,0.007919440928828236
6,0.04751098053077834,0.7967550189655956,0.0010132746316973537,0.79,0.006755018965595605,0.7995482455135628,0.003054292746678495,0.7,0.0995482455135629,0.7967899699209517,0.0017301726902099776,0.77,0.02678996992095173,0.7964867174003375,0.0012931593482634041,0.82,-0.023513282599662455,0.7977721259606851,0.0016633554271070054,0.79,0.007772125960685106
9,0.03542338756154037,0.8199630466731936,0.0009087287406115023,0.84,-0.020036953326806328,0.8240559146999868,0.0031124303420572994,0.77,0.05405591469998683,0.820225193136915,0.0014862873041411795,0.81,0.010225193136914945,0.8205974393977813,0.0013398248229792731,0.87,-0.049402560602218704,0.819865627641779,0.0017503710119072843,0.84,-0.02013437235822102
