year,rmse,sim_Male_avg,sim_Male_ci95,bjs_Male,diff_Male,sim_Female_avg,sim_Female_ci95,bjs_Female,diff_Female,sim_White_avg,sim_White_ci95,bjs_White,diff_White,sim_Black_avg,sim_Black_ci95,bjs_Black,diff_Black,sim_Hispanic_avg,sim_Hispanic_ci95,bjs_Hispanic,diff_Hispanic
3,0.061485507250805475,0.701652328467415,0.0012718446530160037,0.68,0.02165232846741494,0.7073226902259866,0.0047785644801996464,0.58,0.12732269022598663,0.7005182858977677,0.0021477216761210715,0.66,0.040518285897767625,0.7056102181164018,0.0020779203431170283,0.72,-0.014389781883598185,0.699330026390311,0.0021565159990293054,0.68,0.019330026390311006
6,0.05016293154006184,0.7977385174145704,0.0011930949808220295,0.79,0.007738517414570323,0.8065268188170184,0.00461079360219668,0.7,0.10652681881701842,0.7982254429595185,0.0017777159375779803,0.77,0.028225442959518454,0.8011598388530959,0.001582949680116532,0.82,-0.01884016114690401,0.7947035542000532,0.0022553430463023182,0.79,0.004703554200053195
9,0.036887300602673014,0.8134099541168641,0.0011152892167825578,0.84,-0.02659004588313585,0.8202475139697085,0.004132303769236836,0.77,0.0502475139697085,0.8121322772154604,0.0019792738102795376,0.81,0.0021322772154603875,0.8178169828584919,0.0016546466286114947,0.87,-0.05218301714150808,0.8109499114555224,0.002049371628067391,0.84,-0.029050088544477548
