year,rmse,sim_Male_avg,sim_Male_ci95,bjs_Male,diff_Male,sim_Female_avg,sim_Female_ci95,bjs_Female,diff_Female,sim_White_avg,sim_White_ci95,bjs_White,diff_White,sim_Black_avg,sim_Black_ci95,bjs_Black,diff_Black,sim_Hispanic_avg,sim_Hispanic_ci95,bjs_Hispanic,diff_Hispanic
3,0.058344708912787105,0.6902166089156248,0.0012133147081219635,0.68,0.010216608915624703,0.7032187175034394,0.004086432363393129,0.58,0.12321871750343949,0.6886362721910685,0.0020204759838123635,0.66,0.028636272191068457,0.6925086063437113,0.0020759190186446655,0.72,-0.02749139365628872,0.6925491449707163,0.0023507875058006162,0.68,0.012549144970716242
6,0.04876631238197968,0.7922849468763228,0.001116190620672221,0.79,0.0022849468763227465,0.8034046761166248,0.004107462623030663,0.7,0.10340467611662485,0.7922066157049317,0.0017951732384523268,0.77,0.022206615704931654,0.7937632725277579,0.0017675905520221056,0.82,-0.02623672747224204,0.7933938830494293,0.0022282302877436,0.79,0.003393883049429225
9,0.03919469360400365,0.8096648582886481,0.001065701736383084,0.84,-0.030335141711351876,0.8189825806679675,0.0034582275156632833,0.77,0.04898258066796746,0.8091746855912948,0.0016772765017010287,0.81,-0.0008253144087052577,0.8100367036197181,0.0015096422324180885,0.87,-0.05996329638028186,0.8123354388186954,0.0019465551909348838,0.84,-0.02766456118130456
